id_miasta,Powierzchnia_miasta,Powierzchnia_terenow_zielonych
1,"517,2",8798
1,"517,2",8798
1,"517,2",8798
1,"517,2",8798
1,"517,2",8798
1,"517,2",8798
1,"517,2",8798
1,"517,2",8798
1,"517,2",8798
1,"517,2",8798
1,"517,2",8798
1,"517,2",8798
1,"517,2",8798
1,"517,2",8798
1,"517,2",8798
1,"517,2",8798
1,"517,2",8798
1,"517,2",8798
2,"293,3",2947
2,"293,3",2947
2,"293,3",2947
2,"293,3",2947
2,"293,3",2947
2,"293,3",2947
2,"293,3",2947
2,"293,3",2947
2,"293,3",2947
2,"293,3",2947
2,"293,3",2947
2,"293,3",2947
3,"326,8",1731
3,"326,8",1731
3,"326,8",1731
3,"326,8",1731
3,"326,8",1731
3,"326,8",1731
3,"326,8",1731
3,"326,8",1731
3,"326,8",1731
3,"326,8",1731
3,"326,8",1731
3,"326,8",1731
3,"326,8",1731
3,"326,8",1731
3,"326,8",1731
3,"326,8",1731
3,"326,8",1731
3,"326,8",1731
3,"326,8",1731
3,"326,8",1731
3,"326,8",1731
3,"326,8",1731
3,"326,8",1731
4,"292,8",1703
4,"292,8",1703
4,"292,8",1703
4,"292,8",1703
4,"292,8",1703
4,"292,8",1703
4,"292,8",1703
4,"292,8",1703
4,"292,8",1703
4,"292,8",1703
4,"292,8",1703
4,"292,8",1703
4,"292,8",1703
4,"292,8",1703
4,"292,8",1703
4,"292,8",1703
4,"292,8",1703
4,"292,8",1703
4,"292,8",1703
4,"292,8",1703
5,"261,9",4039
5,"261,9",4039
5,"261,9",4039
5,"261,9",4039
5,"261,9",4039
5,"261,9",4039
5,"261,9",4039
5,"261,9",4039
5,"261,9",4039
5,"261,9",4039
5,"261,9",4039
5,"261,9",4039
6,"261,62",4854
6,"261,62",4854
6,"261,62",4854
6,"261,62",4854
6,"261,62",4854
6,"261,62",4854
6,"261,62",4854
6,"261,62",4854
6,"261,62",4854
6,"261,62",4854
6,"261,62",4854
6,"261,62",4854
6,"261,62",4854
6,"261,62",4854
6,"261,62",4854
6,"261,62",4854
6,"261,62",4854
6,"261,62",4854
6,"261,62",4854
6,"261,62",4854
